tiro,x,y,z,enceste
1,-44,896,-488,1
1,-56,888,-440,1
1,-44,880,-440,1
1,-40,892,-480,1
1,-68,892,-456,1
1,-80,892,-516,1
1,-20,892,-476,1
1,-32,896,-388,1
1,-72,892,-500,1
1,-72,864,-652,1
1,-36,840,-584,1
1,-68,876,-372,1
1,-152,908,-548,1
1,-156,788,-732,1
2,-104,828,-620,1
2,-120,816,-480,1
2,-144,784,-564,1
2,-144,864,-616,1
2,-240,872,-452,1
2,-40,672,-592,1
2,-220,1288,-260,1
2,-40,884,-292,1
2,-144,876,-440,1
2,-28,856,-548,1
2,-88,848,-720,1
2,-172,848,-644,1
2,-68,896,-544,1
2,-92,872,-408,1
2,-68,852,-476,1
2,-52,840,-504,1
2,-64,884,-488,1
2,-96,892,-480,1
2,-88,880,-540,1
2,-72,868,-476,1
2,-76,876,-456,1
2,-80,888,-452,1
2,-96,876,-496,1
2,-88,864,-520,1
2,-96,872,-456,1
2,-88,872,-472,1
2,-92,868,-476,1
2,-92,896,-456,1
2,-100,864,-512,1
2,-96,872,-472,1
2,-92,888,-480,1
2,-96,876,-488,1
2,-80,872,-476,1
2,-92,876,-456,1
2,-80,844,-520,1
2,-64,848,-520,1
2,-84,892,-464,1
2,-64,880,-496,1
2,-72,864,-544,1
2,-64,884,-464,1
2,-52,868,-408,1
2,-40,872,-428,1
2,-36,852,-540,1
2,-16,844,-528,1
2,-56,872,-548,1
2,-52,912,-488,1
2,-56,872,-464,1
2,-16,852,-520,1
2,-8,896,-520,1
2,-16,868,-492,1
2,-12,868,-512,1
2,-12,868,-504,1
2,8,868,-512,1
2,24,880,-500,1
2,16,868,-496,1
2,-12,876,-508,1
2,-12,880,-508,1
2,16,856,-512,1
2,16,860,-532,1
2,12,864,-512,1
2,16,860,-504,1
2,16,844,-532,1
2,-12,880,-588,1
2,-52,868,-580,1
2,128,992,-456,1
2,-52,904,-396,1
2,-56,820,-588,1
2,-44,864,-928,1
2,4,804,-632,1
2,-92,740,-392,1
